code,context,message,type,selector,Notes-Comments
"WCAG2AA.Principle2.Guideline2_4.2_4_1.G1,G123,G124.NoSuchID","<a href=""#timeline"" class=""u-hiddenVisually focusable"">Skip to content</a>","This link points to a named anchor ""timeline"" within the document, but no anchor exists with that name.",error,"html > body > a","**  "
"WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","<input type=""text"" class=""text-input email-input js-signin-email"" name=""session[username_or_email]"" autocomplete=""username"" placeholder=""Phone, email, or username"">","This textinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.",error,"#doc > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form > div:nth-child(1) > input","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F68","<input type=""text"" class=""text-input email-input js-signin-email"" name=""session[username_or_email]"" autocomplete=""username"" placeholder=""Phone, email, or username"">","This form field should be labelled in some way. Use the label element (either with a ""for"" attribute or wrapped around the form field), or ""title"", ""aria-label"" or ""aria-labelledby"" attributes as appropriate.",error,"#doc > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form > div:nth-child(1) > input","**  "
"WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputPassword.Name","<input type=""password"" class=""text-input"" name=""session[password]"" placeholder=""Password"" autocomplete=""current-password"">","This passwordinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.",error,"#doc > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form > div:nth-child(2) > input","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F68","<input type=""password"" class=""text-input"" name=""session[password]"" placeholder=""Password"" autocomplete=""current-password"">","This form field should be labelled in some way. Use the label element (either with a ""for"" attribute or wrapped around the form field), or ""title"", ""aria-label"" or ""aria-labelledby"" attributes as appropriate.",error,"#doc > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form > div:nth-child(2) > input","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a class=""js-nav EdgeButton EdgeButton--medium EdgeButton--primary StaticLoggedOutHomePage-buttonSignup"" href=""https://twitter.com/signup"">
                Sign Up
      ...</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.83:1. Recommendation: change background to #007bc7.",error,"#doc > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(3) > div > a:nth-child(1)","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a class=""js-nav EdgeButton EdgeButton--medium EdgeButton--secondary StaticLoggedOutHomePage-buttonLogin"" href=""/login"">
                Log in
       ...</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.83:1. Recommendation: change text colour to #007bc7.",error,"#doc > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(3) > div > a:nth-child(2)","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<div class=""StaticLoggedOutHomePage-communicationItem"">
          <span class=""Icon Ic...</div>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.83:1. Recommendation: change background to #007bc7.",error,"#doc > div > div:nth-child(1) > div:nth-child(2) > div > div:nth-child(1)","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<div class=""StaticLoggedOutHomePage-communicationItem"">
          <span class=""Icon Ic...</div>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.83:1. Recommendation: change background to #007bc7.",error,"#doc > div > div:nth-child(1) > div:nth-child(2) > div > div:nth-child(2)","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<div class=""StaticLoggedOutHomePage-communicationItem"">
          <span class=""Icon Ic...</div>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.83:1. Recommendation: change background to #007bc7.",error,"#doc > div > div:nth-child(1) > div:nth-child(2) > div > div:nth-child(3)","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""/about"" rel=""noopener"">About</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(1) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""//support.twitter.com"" rel=""noopener"">Help Center</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(2) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""https://blog.twitter.com"" rel=""noopener"">Blog</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(3) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""http://status.twitter.com"" rel=""noopener"">Status</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(4) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""https://about.twitter.com/careers"" rel=""noopener"">Jobs</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(5) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""/tos"" rel=""noopener"">Terms</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(6) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""/privacy"" rel=""noopener"">Privacy Policy</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(7) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""//support.twitter.com/articles/20170514"" rel=""noopener"">Cookies</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(8) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""//business.twitter.com/en/help/troubleshooting/how-twitter-ads-work.html"" rel=""noopener"">Ads info</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(9) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""//about.twitter.com/press/brand-assets"" rel=""noopener"">Brand</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(10) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""https://about.twitter.com/products"" rel=""noopener"">Apps</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(11) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""//ads.twitter.com/?ref=gl-tw-tw-twitter-advertise"" rel=""noopener"">Advertise</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(12) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""https://marketing.twitter.com"" rel=""noopener"">Marketing</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(13) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""https://business.twitter.com"" rel=""noopener"">Businesses</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(14) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""//dev.twitter.com"" rel=""noopener"">Developers</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(15) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""/i/directory/profiles"" rel=""noopener"">Directory</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(16) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""/settings/personalization"" rel=""noopener"">Settings</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(17) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<li class=""StreamsFooter-item StreamsFooter-copyright"">Â© 2019 Twitter</li>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(18)","**  "
"WCAG2AA.Principle3.Guideline3_2.3_2_2.H32.2","<form class=""t1-form goto-user-form"">
            <input class=""inpu...</form>","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute ""submit"" or ""image"", or BUTTON elements with type ""submit"" or omitted/invalid.",error,"#goto-user-dialog > div > div > div:nth-child(3) > div > form","**  "
"WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","<iframe class=""quick-promote-iframe js-initial-focus"" scrolling=""no"" frameborder=""0"" src="""">
            </iframe>","Iframe element requires a non-empty title attribute that identifies the frame.",error,"#quick-promote-dialog > div > div > div:nth-child(3) > div > div > iframe","**  "
"WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","<input class=""GeoSearch-queryInput"" type=""text"" autocomplete=""off"" placeholder=""Search for a neighborhood or city"">","This textinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.",error,"#geo-enabled-dropdown > div > div:nth-child(2) > div:nth-child(1) > input","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F68","<input class=""GeoSearch-queryInput"" type=""text"" autocomplete=""off"" placeholder=""Search for a neighborhood or city"">","This form field should be labelled in some way. Use the label element (either with a ""for"" attribute or wrapped around the form field), or ""title"", ""aria-label"" or ""aria-labelledby"" attributes as appropriate.",error,"#geo-enabled-dropdown > div > div:nth-child(2) > div:nth-child(1) > input","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.H42.2","<h3 class=""modal-title""></h3>","Heading tag found with no content. Text that is not intended as a heading should not be marked up with heading tags.",error,"#activity-popup-dialog > div > div > div:nth-child(2) > h3","**  "
"WCAG2AA.Principle3.Guideline3_2.3_2_2.H32.2","<form class=""t1-form"">

    <div class=""embed-destina...</form>","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute ""submit"" or ""image"", or BUTTON elements with type ""submit"" or omitted/invalid.",error,"#embed-tweet-dialog > div > div > div:nth-child(3) > div > form","**  "
"WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Textarea.Name","<textarea class=""embed-destination js-initial-focus""></textarea>","This textarea element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.",error,"#embed-tweet-dialog > div > div > div:nth-child(3) > div > form > div > textarea","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F68","<textarea class=""embed-destination js-initial-focus""></textarea>","This form field should be labelled in some way. Use the label element (either with a ""for"" attribute or wrapped around the form field), or ""title"", ""aria-label"" or ""aria-labelledby"" attributes as appropriate.",error,"#embed-tweet-dialog > div > div > div:nth-child(3) > div > form > div > textarea","**  "
"WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","<input type=""text"" class=""text-input email-input js-signin-email"" name=""session[username_or_email]"" autocomplete=""username"" placeholder=""Phone, email, or username"">","This textinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.",error,"#login-dialog > div > div > div:nth-child(3) > div:nth-child(2) > form > div:nth-child(1) > input","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F68","<input type=""text"" class=""text-input email-input js-signin-email"" name=""session[username_or_email]"" autocomplete=""username"" placeholder=""Phone, email, or username"">","This form field should be labelled in some way. Use the label element (either with a ""for"" attribute or wrapped around the form field), or ""title"", ""aria-label"" or ""aria-labelledby"" attributes as appropriate.",error,"#login-dialog > div > div > div:nth-child(3) > div:nth-child(2) > form > div:nth-child(1) > input","**  "
"WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputPassword.Name","<input type=""password"" class=""text-input"" name=""session[password]"" placeholder=""Password"" autocomplete=""current-password"">","This passwordinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.",error,"#login-dialog > div > div > div:nth-child(3) > div:nth-child(2) > form > div:nth-child(2) > input","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F68","<input type=""password"" class=""text-input"" name=""session[password]"" placeholder=""Password"" autocomplete=""current-password"">","This form field should be labelled in some way. Use the label element (either with a ""for"" attribute or wrapped around the form field), or ""title"", ""aria-label"" or ""aria-labelledby"" attributes as appropriate.",error,"#login-dialog > div > div > div:nth-child(3) > div:nth-child(2) > form > div:nth-child(2) > input","**  "
"WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","<iframe class=""cards2-promotion-iframe"" scrolling=""no"" frameborder=""0"" src="""">
            </iframe>","Iframe element requires a non-empty title attribute that identifies the frame.",error,"#leadgen-confirm-dialog > div > div > div:nth-child(3) > div:nth-child(1) > div > iframe","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.H42.2","<h3 class=""modal-title"">&nbsp;</h3>","Heading tag found with no content. Text that is not intended as a heading should not be marked up with heading tags.",error,"#auth-webview-dialog > div > div > div:nth-child(2) > h3","**  "
"WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","<iframe class=""auth-webview-card-iframe js-initial-focus"" scrolling=""no"" frameborder=""0"" width=""590px"" height=""500px"" src="""">
            </iframe>","Iframe element requires a non-empty title attribute that identifies the frame.",error,"#auth-webview-dialog > div > div > div:nth-child(3) > div > div > iframe","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","<div role=""presentation"" class=""dropdown-inner js-typeahead-results"">
    <div role=""presentation"" c...</div>","This element's role is ""presentation"" but contains child elements with semantic meaning.",error,"#goto-user-dialog > div > div > div:nth-child(3) > div > form > div > div:nth-child(2)","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","<div role=""presentation"" class=""typeahead-saved-searches"">
  <h3 id=""saved-searches-headi...</div>","This element's role is ""presentation"" but contains child elements with semantic meaning.",error,"#goto-user-dialog > div > div > div:nth-child(3) > div > form > div > div:nth-child(2) > div:nth-child(1)","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","<ul role=""presentation"" class=""typeahead-items typeahead-accounts social-context js-typeahead-accounts"">
  
  <li role=""presentation"" d...</ul>","This element's role is ""presentation"" but contains child elements with semantic meaning.",error,"#goto-user-dialog > div > div > div:nth-child(3) > div > form > div > div:nth-child(2) > ul:nth-child(3)","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","<li role=""presentation"" data-user-id="""" data-user-screenname="""" data-remote=""true"" data-score="""" class=""typeahead-item typeahead-account-item js-selectable"">
    
    <a role=""option"" clas...</li>","This element's role is ""presentation"" but contains child elements with semantic meaning.",error,"#goto-user-dialog > div > div > div:nth-child(3) > div > form > div > div:nth-child(2) > ul:nth-child(3) > li:nth-child(1)","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","<div role=""presentation"" class=""typeahead-user-select"">
  <div role=""presentation"" cla...</div>","This element's role is ""presentation"" but contains child elements with semantic meaning.",error,"#goto-user-dialog > div > div > div:nth-child(3) > div > form > div > div:nth-child(2) > div:nth-child(5)","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","<ul role=""presentation"" class=""typeahead-items typeahead-selected js-typeahead-selected"">
    
    <li role=""presentatio...</ul>","This element's role is ""presentation"" but contains child elements with semantic meaning.",error,"#goto-user-dialog > div > div > div:nth-child(3) > div > form > div > div:nth-child(2) > div:nth-child(5) > ul:nth-child(2)","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","<li role=""presentation"" data-user-id="""" data-user-screenname="""" data-remote=""true"" data-score="""" class=""typeahead-item typeahead-selected-item js-selectable"">
      
      <a role=""option"" ...</li>","This element's role is ""presentation"" but contains child elements with semantic meaning.",error,"#goto-user-dialog > div > div > div:nth-child(3) > div > form > div > div:nth-child(2) > div:nth-child(5) > ul:nth-child(2) > li:nth-child(1)","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","<ul role=""presentation"" class=""typeahead-items typeahead-accounts js-typeahead-accounts"">
    
    <li role=""presentatio...</ul>","This element's role is ""presentation"" but contains child elements with semantic meaning.",error,"#goto-user-dialog > div > div > div:nth-child(3) > div > form > div > div:nth-child(2) > div:nth-child(5) > ul:nth-child(3)","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","<li role=""presentation"" data-user-id="""" data-user-screenname="""" data-remote=""true"" data-score="""" class=""typeahead-item typeahead-account-item js-selectable"">
      
      <a role=""option"" ...</li>","This element's role is ""presentation"" but contains child elements with semantic meaning.",error,"#goto-user-dialog > div > div > div:nth-child(3) > div > form > div > div:nth-child(2) > div:nth-child(5) > ul:nth-child(3) > li:nth-child(1)","**  "
